id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kematian,penyebab_kematian,jumlah_kematian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN BALITA,CAMPAK,0,JIWA,2017
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN BALITA,DEMAM,0,JIWA,2017
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN BALITA,DIARE,0,JIWA,2017
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN BALITA,DIFTERI,0,JIWA,2017
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN BALITA,LAIN-LAIN,7,JIWA,2017
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN BALITA,MALARIA,0,JIWA,2017
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN BALITA,PNEUMONIA,0,JIWA,2017
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN IBU,GANGGUAN DARAH,6,JIWA,2017
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN IBU,GANGGUAN METABOLIK,0,JIWA,2017
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN IBU,HIPERTENSI,16,JIWA,2017
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN IBU,INFEKSI,3,JIWA,2017
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN IBU,LAIN-LAIN,7,JIWA,2017
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN IBU,PENDARAHAN,27,JIWA,2017
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN POST-NEO,DIARE,0,JIWA,2017
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN POST-NEO,KELAINAN SARAF,0,JIWA,2017
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN POST-NEO,LAIN-LAIN,8,JIWA,2017
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN POST-NEO,MALARIA,0,JIWA,2017
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN POST-NEO,PNEUMONIA,0,JIWA,2017
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN POST-NEO,SALURAN CERNA,0,JIWA,2017
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMATIAN POST-NEO,TETANUS,0,JIWA,2017
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAHIR MATI,ASFIKSIA,20,JIWA,2017
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAHIR MATI,BBLR,44,JIWA,2017
23,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAHIR MATI,KELAINAN,10,JIWA,2017
24,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAHIR MATI,LAIN-LAIN,16,JIWA,2017
25,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAHIR MATI,SEPSIS,5,JIWA,2017
26,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAHIR MATI,TETANUS,2,JIWA,2017
27,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN BALITA,CAMPAK,0,JIWA,2017
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN BALITA,DEMAM,0,JIWA,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN BALITA,DIARE,4,JIWA,2017
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN BALITA,DIFTERI,0,JIWA,2017
31,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN BALITA,LAIN-LAIN,18,JIWA,2017
32,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN BALITA,MALARIA,0,JIWA,2017
33,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN BALITA,PNEUMONIA,5,JIWA,2017
34,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN IBU,GANGGUAN DARAH,8,JIWA,2017
35,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN IBU,GANGGUAN METABOLIK,1,JIWA,2017
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN IBU,HIPERTENSI,5,JIWA,2017
37,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN IBU,INFEKSI,3,JIWA,2017
38,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN IBU,LAIN-LAIN,13,JIWA,2017
39,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN IBU,PENDARAHAN,11,JIWA,2017
40,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN POST-NEO,DIARE,7,JIWA,2017
41,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMATIAN POST-NEO,KELAINAN SARAF,1,JIWA,2017
